Sales,"Clarinet Institute Music Archives"
"Date Pulled","Aug 19, 2024"
"Report Range","Jul 20, 2020","Aug 19, 2024"
Grouping,day

"Key Stats"
,Count,Trend
Sales,96475.03999999963,-45
Orders,2610,-54
"Conversion Rate",0.7,-
"Average Order Value",32.854297,6
"Sales Per Visit",0.26,-
"Units Sold",3798,-54

Comparison
,Sales,Orders
2023-02-18,18.35,1
2023-02-19,0,0
2023-02-20,0,0
2023-02-21,50.85,1
2023-02-22,57.65,1
2023-02-23,64.85,2
2023-02-24,0,0
2023-02-25,0,0
2023-02-26,0,0
2023-02-27,0,0
2023-02-28,275.9,5
2023-03-01,59.2,3
2023-03-02,17.95,1
2023-03-03,6.95,1
2023-03-04,101.7,2
2023-03-05,35.3,1
2023-03-06,0,0
2023-03-07,158.5,4
2023-03-08,0,0
2023-03-09,89.15,3
2023-03-10,0,0
2023-03-11,0,0
2023-03-12,116.3,1
2023-03-13,0,0
2023-03-14,13.9,2
2023-03-15,156.55,5
2023-03-16,17.95,1
2023-03-17,0,0
2023-03-18,0,0
2023-03-19,113.85,1
2023-03-20,0,0
2023-03-21,85.75,1
2023-03-22,51.85,1
2023-03-23,0,0
2023-03-24,0,0
2023-03-25,280.45,3
2023-03-26,0,0
2023-03-27,0,0
2023-03-28,17.95,1
2023-03-29,0,0
2023-03-30,33.9,1
2023-03-31,95.85,1
2023-04-01,73.6,1
2023-04-02,0,0
2023-04-03,51.85,1
2023-04-04,53.85,2
2023-04-05,0,0
2023-04-06,33.9,1
2023-04-07,0,0
2023-04-08,0,0
2023-04-09,69.8,1
2023-04-10,52.25,1
2023-04-11,135.75,3
2023-04-12,33.9,1
2023-04-13,0,0
2023-04-14,0,0
2023-04-15,0,0
2023-04-16,0,0
2023-04-17,0,0
2023-04-18,0,0
2023-04-19,0,0
2023-04-20,6.95,1
2023-04-21,33.9,1
2023-04-22,33.9,1
2023-04-23,0,0
2023-04-24,0,0
2023-04-25,0,0
2023-04-26,0,0
2023-04-27,0,0
2023-04-28,99.85,2
2023-04-29,0,0
2023-04-30,0,0
2023-05-01,135.6,2
2023-05-02,0,0
2023-05-03,86.15,2
2023-05-04,0,0
2023-05-05,87.75,3
2023-05-06,32.45,2
2023-05-07,67.35,1
2023-05-08,0,0
2023-05-09,0,0
2023-05-10,0,0
2023-05-11,6.95,1
2023-05-12,0,0
2023-05-13,0,0
2023-05-14,0,0
2023-05-15,0,0
2023-05-16,86.15,2
2023-05-17,0,0
2023-05-18,0,0
2023-05-19,33.9,1
2023-05-20,17.95,1
2023-05-21,0,0
2023-05-22,0,0
2023-05-23,53.85,2
2023-05-24,50.85,1
2023-05-25,0,0
2023-05-26,85.8,1
2023-05-27,35.3,1
2023-05-28,0,0
2023-05-29,33.9,1
2023-05-30,72.9,2
2023-05-31,0,0
2023-06-01,0,0
2023-06-02,83.9,2
2023-06-03,0,0
2023-06-04,93.55,2
2023-06-05,0,0
2023-06-06,74.6,3
2023-06-07,37.3,2
2023-06-08,0,0
2023-06-09,0,0
2023-06-10,0,0
